NO	기업명	기업코드	ESG등급	지배구조	사회	환경	평가년도	비고
6567	AJ네트웍스	95570	B	B	B	C이하	2019	
6566	AJ렌터카	68400	C이하	C	B	B	2019	
6565	AK홀딩스	6840	B	B	B	C이하	2019	
6564	AP시스템	265520	C이하	B	C이하	C이하	2019	
6563	BGF	27410	B	B	A	C이하	2019	
6562	BGF리테일	282330	B	B+	B+	C이하	2019	
6561	BNK금융지주	138930	A+	A+	A+	B+	2019	금융회사
6560	BYC	1460	B	B+	B+	C이하	2019	
6559	CJ	1040	A	A	A+	B	2019	
6558	CJ CGV	79160	B+	A	B+	B	2019	
6557	CJ ENM	35760	B	B+	B+	C이하	2019	
6556	CJ대한통운	120	B+	B+	B+	A	2019	
6555	CJ씨푸드	11150	C이하	B+	C이하	C이하	2019	
6554	CJ제일제당	97950	A	A	A+	A	2019	
6553	CJ프레시웨이	51500	A	A	A	B	2019	
6552	CJ헬로	37560	B+	B+	B+	C이하	2019	
6551	CMG제약	58820	C이하	C	C이하	C이하	2019	
6550	CS홀딩스	590	C이하	B	C이하	C이하	2019	
6549	DB	12030	B	B	B	C이하	2019	
6548	DB금융투자	16610	B	B	B+	C이하	2019	금융회사
6547	DB생명보험	818158		B			2019	금융회사
6546	DB손해보험	5830	B+	B+	A	A	2019	금융회사
6545	DB하이텍	990	B+	B+	A	B+	2019	
6544	DGB금융지주	139130	B+	B+	A	A	2019	금융회사
6543	DGB생명보험	813363		B+			2019	금융회사
6542	DRB동일	4840	B	B+	B	B	2019	
6541	DSR	155660	C이하	C	B	B	2019	
6540	DSR제강	69730	C이하	C	B	C이하	2019	
6539	E1	17940	B	B	B+	C이하	2019	
6538	F&F	7700	C이하	B	C이하	C이하	2019	
6537	GKL	114090	B	B	B+	C이하	2019	
6536	GS	78930	B	B+	B+	C이하	2019	
6535	GS건설	6360	A	A	A	B+	2019	
6534	GS글로벌	1250	B	B+	B+	C이하	2019	
6533	GS리테일	7070	B	B	A	C이하	2019	
6532	GS홈쇼핑	28150	B+	A	A	C이하	2019	
6531	HDC	12630	B	B+	B+	C이하	2019	
6530	HDC아이콘트롤스	39570	C이하	B	B	C이하	2019	
6529	HDC현대EP	89470	B	B	B	B	2019	
6528	HSD엔진	82740	A	A	A+	B+	2019	
6527	JB금융지주	175330	A	A	A	B+	2019	금융회사
6526	JW생명과학	234080	B+	B+	B+	B+	2019	
6525	JW중외제약	1060	B+	B+	A	B	2019	
6524	JW홀딩스	96760	B	B	B+	C이하	2019	
6523	JYP Ent.	35900	C이하	B	C이하	C이하	2019	
6522	KB국민카드	861717		A			2019	금융회사
6521	KB금융	105560	A+	A+	A	A+	2019	금융회사
6520	KB생명보험	805087		B+			2019	금융회사
6519	KB손해보험	2550		A			2019	금융회사
6518	KB증권	3450		B+			2019	금융회사
6517	KB캐피탈	825121		A			2019	금융회사
6516	KCC건설	21320	C이하	B	B	C이하	2019	
6515	KC그린홀딩스	9440	B	B	B	B	2019	
6514	KC코트렐	119650	B	B	C이하	B	2019	
6513	KEC	92220	B	B	C이하	B	2019	
6512	KG이니시스	35600	C이하	D	B	C이하	2019	
6511	KG케미칼	1390	C이하	C	C이하	C이하	2019	
6510	KISCO홀딩스	1940	B	B	C이하	B	2019	
6509	KPX케미칼	25000	B	B	C이하	B	2019	
6508	KPX홀딩스	92230	C이하	B	C이하	C이하	2019	
6507	KR모터스	40	C이하	C	B	C이하	2019	
6506	KSS해운	44450	B+	B+	B+	B	2019	
6505	KTB투자증권	30210	C이하	C이하	B	C이하	2019	금융회사
6504	KTH	36030	B	B+	B	C이하	2019	
6503	KTcs	58850	B	B+	B+	C이하	2019	
6502	KTis	58860	B	B+	B+	C이하	2019	
6501	KT서브마린	60370	B	B+	B	C이하	2019	
6500	LF	93050	B	B+	B	C이하	2019	
6499	LG	3550	B+	B+	A	B	2019	
6498	LG디스플레이	34220	B+	B	A	B+	2019	
6497	LG상사	1120	B+	B+	A	C이하	2019	
6496	LG생활건강	51900	A	B+	A+	A	2019	
6495	LG유플러스	32640	B+	B+	A	B+	2019	
6494	LG이노텍	11070	B+	B+	A	B+	2019	
6493	LG전자	66570	B+	B	A	A	2019	
6492	LG하우시스	108670	A	B+	A	A	2019	
6491	LG화학	51910	B+	B+	A+	C이하	2019	
6490	LIG넥스원	79550	B+	B+	A	B+	2019	
6489	LS	6260	B+	B	A	B	2019	
6488	LS네트웍스	680	B	B	B	C이하	2019	
6487	LS산전	10120	A	A	A	A	2019	
6486	LS전선아시아	229640	B	B+	C이하	C이하	2019	
6485	MH에탄올	23150	B	B	B	C이하	2019	
6484	NAVER	35420	B+	B+	A	B	2019	
6483	NH농협손해보험	839719		A			2019	금융회사
6482	NH투자증권	5940	B+	B+	A	C이하	2019	금융회사
6481	NICE	34310	B	B+	B	C이하	2019	
6480	NICE평가정보	30190	B	B	B	C이하	2019	
6479	NI스틸	8260	C이하	C	C이하	C이하	2019	
6478	OCI	10060	A	A	A+	B	2019	
6477	S&TC	100840	B	B	B+	B	2019	
6476	S&T모티브	64960	B	B+	B	B	2019	
6475	S&T중공업	3570	B	B	B	B+	2019	
6474	S&T홀딩스	36530	B	B	B	C이하	2019	
6473	S-Oil	10950	A	A+	A+	B+	2019	
6472	SBS	34120	B	B+	B	C이하	2019	
6471	SBS미디어홀딩스	101060	B	B	B	C이하	2019	
6470	SBS콘텐츠허브	46140	C이하	B	C이하	C이하	2019	
6469	SG세계물산	4060	C이하	C	B	C이하	2019	
6468	SG충방	1380	C이하	D	C이하	C이하	2019	
6467	SH에너지화학	2360	C이하	B+	C이하	C이하	2019	
6466	SIMPAC	9160	C이하	C	C이하	C이하	2019	
6465	SK	34730	A	A	A	A	2019	
6464	SKC	11790	A	A	A	B+	2019	
6463	SKC 솔믹스	57500	B+	B+	B	B+	2019	
6462	SKC코오롱PI	178920	B	B+	C이하	B	2019	
6461	SK가스	18670	B+	A	B+	B	2019	
6460	SK네트웍스	1740	A+	A+	A+	B+	2019	
6459	SK디스커버리	6120	B+	A	B+	C이하	2019	
6458	SK디앤디	210980	B	B+	B	C이하	2019	
6457	SK머티리얼즈	36490	B	B+	B	B	2019	
6456	SK바이오랜드	52260	B	B+	B	C이하	2019	
6455	SK이노베이션	96770	A	A	A+	A	2019	
6454	SK증권	1510	B	B+	B+	C이하	2019	금융회사
6453	SK텔레콤	17670	A	A+	A	B+	2019	
6452	SK하이닉스	660	A	B+	A+	B+	2019	
6451	SPC삼립	5610	B+	B+	A	B	2019	
6450	STX	11810	B	B	B	C이하	2019	
6449	STX엔진	77970	B	B	B	B+	2019	
6448	TCC스틸	2710	C이하	C	B	C이하	2019	
6447	WISCOM	24070	C이하	B	C이하	C이하	2019	
6446	YG PLUS	37270	C이하	B	C이하	C이하	2019	
6445	가온전선	500	B	B+	C이하	B	2019	
6444	강남제비스코	860	C이하	B	C이하	C이하	2019	
6443	강원랜드	35250	B+	B	A	B+	2019	
6442	갤럭시아에스엠	11420	C이하	C	C이하	C이하	2019	
6441	갤럭시아컴즈	94480	C이하	B	C이하	C이하	2019	
6440	게임빌	63080	B	B	B	C이하	2019	
6439	경남은행	192520		B+			2019	금융회사
6438	경농	2100	C이하	C	B+	B	2019	
6437	경동나비엔	9450	B+	B	A	B	2019	
6436	경동도시가스	267290	B+	B+	A	B	2019	
6435	경동인베스트	12320	C이하	C	B+	C이하	2019	
6434	경방	50	C이하	B	B	C이하	2019	
6433	경보제약	214390	B	B	B	B	2019	
6432	경인양행	12610	B	B	C이하	B	2019	
6431	경인전자	9140	C이하	B	C이하	C이하	2019	
6430	계룡건설산업	13580	B+	B+	B+	B	2019	
6429	계양전기	12200	B	B	B+	B	2019	
6428	고려개발	4200	B	B	B+	C이하	2019	
6427	고려산업	2140	C이하	C	C이하	C이하	2019	
6426	고려아연	10130	B	B	B	B	2019	
6425	고려제강	2240	C이하	D	B	B+	2019	
6424	고영	98460	C이하	C	B	B	2019	
6423	광동제약	9290	B	B+	B	C이하	2019	
6422	광명전기	17040	C이하	D	B	C이하	2019	
6421	광전자	17900	B	B	B	B	2019	
6420	광주신세계	37710	B	B+	B	C이하	2019	
6419	광주은행	192530		B+			2019	금융회사
6418	교보생명보험	811097		B+			2019	금융회사
6417	교보증권	30610	B	B	B+	C이하	2019	금융회사
6416	국도화학	7690	C이하	C	C이하	B+	2019	
6415	국동	5320	C이하	B	C이하	C이하	2019	
6414	국민은행	60000		B+			2019	금융회사
6413	국보	1140	C이하	C	C이하	B	2019	
6412	국제약품	2720	B	B+	B	C이하	2019	
6411	그린케미칼	83420	B	B	C이하	B	2019	
6410	극동유화	14530	B	B	C이하	B	2019	
6409	금강공업	14280	C이하	C	B	C이하	2019	
6408	금비	8870	C이하	C	B	C이하	2019	
6407	금양	1570	C이하	B	C이하	C이하	2019	
6406	금호산업	2990	B	B	B	B	2019	
6405	금호석유화학	11780	B+	B+	B+	B+	2019	
6404	금호에이치티	214330	C이하	C	C이하	C이하	2019	
6403	금호전기	1210	C이하	C	B+	B	2019	
6402	금호타이어	73240	B+	B+	B+	B	2019	
6401	기신정기	92440	C이하	B	C이하	C이하	2019	
6400	기아자동차	270	B+	B	A	A	2019	
6399	기업은행	24110	B+	B+	A	B	2019	금융회사
6398	까뮤이앤씨	13700	C이하	B+	C이하	C이하	2019	
6397	깨끗한나라	4540	B	B	B+	B	2019	
6396	나노메딕스	74610	C이하	C	C이하	B	2019	
6395	나노스	151910	C이하	C	C이하	C이하	2019	
6394	나노엔텍	39860	C이하	B	C이하	C이하	2019	
6393	나스미디어	89600	B	B+	B	C이하	2019	
6392	남광토건	1260	B	B	B	B	2019	
6391	남선알미늄	8350	C이하	C	B+	B	2019	
6390	남성	4270	C이하	B	C이하	C이하	2019	
6389	남양유업	3920	B	B	B+	C이하	2019	
6388	남영비비안	2070	C이하	B	B	C이하	2019	
6387	남해화학	25860	B+	B+	B+	B	2019	
6386	네이처셀	7390	C이하	D	C이하	C이하	2019	
6385	넥센	5720	B	B	B	B	2019	
6384	넥센타이어	2350	B	B	B	B+	2019	
6383	넥스트사이언스	3580	C이하	C	C이하	C이하	2019	
6382	넥슨지티	41140	C이하	C	B+	C이하	2019	
6381	넷마블	251270	B	B	B+	C이하	2019	
6380	노루페인트	90350	C이하	B	B	C이하	2019	
6379	노루홀딩스	320	C이하	C	B	C이하	2019	
6378	녹십자	6280	B+	B	A	B	2019	
6377	녹십자랩셀	144510	C이하	B	B	C이하	2019	
6376	녹십자셀	31390	C이하	C	B	C이하	2019	
6375	녹십자홀딩스	5250	B+	B+	A	C이하	2019	
6374	농심	4370	C이하	D	B+	B+	2019	
6373	농심홀딩스	72710	B	B	B+	B	2019	
6372	농우바이오	54050	C이하	B	C이하	C이하	2019	
6371	농협금융지주	839683		A			2019	금융회사
6370	농협생명보험	839723		A			2019	금융회사
6369	다스코	58730	B	B+	C이하	C이하	2019	
6368	다우기술	23590	C이하	C	B+	C이하	2019	
6367	대교	19680	B+	A	B+	C이하	2019	
6366	대구백화점	6370	B	B+	B	C이하	2019	
6365	대구은행	5270		B+			2019	금융회사
6364	대덕전자	8060	B	B	B+	B	2019	
6363	대동공업	490	B	B	B	B	2019	
6362	대동전자	8110	C이하	C	C이하	B	2019	
6361	대림비앤코	5750	C이하	B	B	C이하	2019	
6360	대림산업	210	B	B	C이하	B	2019	
6359	대림씨엔에스	4440	B+	B+	B+	B	2019	
6358	대림통상	6570	C이하	C	B	B	2019	
6357	대상	1680	B	B	B+	B	2019	
6356	대상홀딩스	84690	B+	B+	B+	C이하	2019	
6355	대성산업	128820	C이하	B	C이하	C이하	2019	
6354	대성에너지	117580	B	B	B	B	2019	
6353	대성홀딩스	16710	B	B	B+	C이하	2019	
6352	대신증권	3540	B	B+	B	C이하	2019	금융회사
6351	대양금속	9190	B	B	C이하	B	2019	
6350	대영포장	14160	C이하	D	C이하	B	2019	
6349	대우건설	47040	B+	B+	A	B+	2019	
6348	대우부품	9320	C이하	B	C이하	C이하	2019	
6347	대우조선해양	42660	B	B+	C이하	B+	2019	
6346	대웅	3090	C이하	C	B+	C이하	2019	
6345	대웅제약	69620	B	B	B+	B	2019	
6344	대원강업	430	B+	B+	B+	B	2019	
6343	대원전선	6340	C이하	C	C이하	B	2019	
6342	대원제약	3220	B	B+	B+	C이하	2019	
6341	대원화성	24890	C이하	C	B	B	2019	
6340	대유에이텍	2880	C이하	C	B	B	2019	
6339	대유플러스	300	C이하	C	C이하	C이하	2019	
6338	대창	12800	C이하	C	C이하	B	2019	
6337	대창단조	15230	B	B	C이하	B	2019	
6336	대한방직	1070	C이하	B+	C이하	C이하	2019	
6335	대한유화	6650	C이하	C	B+	B	2019	
6334	대한전선	1440	B	B	C이하	B	2019	
6333	대한제강	84010	B	B+	C이하	B+	2019	
6332	대한제당	1790	C이하	B	C이하	C이하	2019	
6331	대한제분	1130	B	B	B	C이하	2019	
6330	대한항공	3490	B+	B	A	B+	2019	
6329	대한해운	5880	C이하	C	B+	C이하	2019	
6328	대한화섬	3830	B	B	B+	B	2019	
6327	대현	16090	C이하	B+	C이하	C이하	2019	
6326	대호에이엘	69460	C이하	D	C이하	B	2019	
6325	대화제약	67080	C이하	B	B	C이하	2019	
6324	더블유게임즈	192080	B	B+	C이하	C이하	2019	
6323	더존비즈온	12510	C이하	C	B	C이하	2019	
6322	덕산네오룩스	213420	C이하	C	B	C이하	2019	
6321	덕성	4830	B	B	C이하	B	2019	
6320	덕양산업	24900	B	B	B	B	2019	
6319	덴티움	145720	C이하	B+	C이하	C이하	2019	
6318	도화엔지니어링	2150	B	B+	C이하	B	2019	
6317	동국제강	1230	B	B	B	B	2019	
6316	동국제약	86450	C이하	C	C이하	C이하	2019	
6315	동남합성	23450	C이하	B	C이하	C이하	2019	
6314	동방	4140	C이하	C	C이하	B	2019	
6313	동방아그로	7590	C이하	B	C이하	C이하	2019	
6312	동부건설	5960	C이하	B	B	C이하	2019	
6311	동부제철	16380	C이하	D	B	B	2019	
6310	동서	26960	C이하	C	B	C이하	2019	
6309	동성제약	2210	C이하	C	C이하	C이하	2019	
6308	동성코퍼레이션	102260	B+	B+	B+	B	2019	
6307	동성화학	5190	B	B	B+	B	2019	
6306	동아쏘시오홀딩스	640	B+	A	B+	C이하	2019	
6305	동아에스티	170900	B+	B+	A	B	2019	
6304	동아지질	28100	C이하	B	B	C이하	2019	
6303	동아타이어	282690	C이하	B	C이하	C이하	2019	
6302	동양	1520	C이하	C	C이하	C이하	2019	
6301	동양고속	84670	B	B+	B	C이하	2019	
6300	동양네트웍스	30790	C이하	B	C이하	C이하	2019	
6299	동양물산기업	2900	C이하	C	B+	B	2019	
6298	동양생명	82640	B	B	B+	C이하	2019	금융회사
6297	동양철관	8970	C이하	C	C이하	C이하	2019	
6296	동양피스톤	92780	B	B+	B	B	2019	
6295	동원F&B	49770	B	B	B	C이하	2019	
6294	동원금속	18500	B	B	B	B	2019	
6293	동원산업	6040	B	B	B+	C이하	2019	
6292	동원수산	30720	C이하	B	B	C이하	2019	
6291	동원시스템즈	14820	C이하	C	B+	B	2019	
6290	동일고무벨트	163560	B	B	B	B	2019	
6289	동일산업	4890	B	B+	C이하	B+	2019	
6288	동일제강	2690	C이하	B	C이하	C이하	2019	
6287	동진쎄미켐	5290	C이하	D	B	C이하	2019	
6286	동화기업	25900	C이하	C	B+	B	2019	
6285	동화약품	20	C이하	C	B+	C이하	2019	
6284	두산	150	A	A	A+	A	2019	
6283	두산건설	11160	B+	B+	A	B+	2019	
6282	두산밥캣	241560	B	A	B	C이하	2019	
6281	두산인프라코어	42670	A	B+	A	A	2019	
6280	두산중공업	34020	A	A	A+	A	2019	
6279	두올	16740	B	B+	B	C이하	2019	
6278	드림어스컴퍼니	60570	C이하	B	B	C이하	2019	
6277	디씨엠	24090	C이하	B	C이하	C이하	2019	
6276	디아이	3160	C이하	C	C이하	B	2019	
6275	디아이동일	1530	C이하	B	C이하	C이하	2019	
6274	디아이씨	92200	C이하	B	C이하	C이하	2019	
6273	디오	39840	C이하	C	B	C이하	2019	
6272	디와이	13570	C이하	B+	C이하	C이하	2019	
6271	디와이파워	210540	C이하	B	C이하	C이하	2019	
6270	디티알오토모티브	7340	C이하	B	C이하	B	2019	
6269	디피씨	26890	B	B+	B	C이하	2019	
6268	락앤락	115390	B	B	B+	B	2019	
6267	레고켐바이오	141080	C이하	B	C이하	C이하	2019	
6266	롯데관광개발	32350	C이하	D	B	C이하	2019	
6265	롯데손해보험	400	B+	B+	A	C이하	2019	금융회사
6264	롯데쇼핑	23530	A	A	A	A	2019	
6263	롯데정밀화학	4000	A	A	A+	B+	2019	
6262	롯데제과	280360	A	B+	A	A	2019	
6261	롯데지주	4990	B+	B+	A	B	2019	
6260	롯데칠성음료	5300	B+	B	A	B+	2019	
6259	롯데카드	854231		B+			2019	금융회사
6258	롯데캐피탈	855981		B+			2019	금융회사
6257	롯데케미칼	11170	B	B+	A	C이하	2019	
6256	롯데푸드	2270	B+	B+	A	B+	2019	
6255	롯데하이마트	71840	A	B+	A+	B+	2019	
6254	리노공업	58470	B	B	B	B	2019	
6253	마니커	27740	C이하	C	B	C이하	2019	
6252	만도	204320	B+	B+	A	B+	2019	
6251	만호제강	1080	B	B+	B	C이하	2019	
6250	매일유업	267980	B+	B+	B+	B+	2019	
6249	멀티캠퍼스	67280	B	B	B	C이하	2019	
6248	메디톡스	86900	C이하	B	C이하	C이하	2019	
6247	메디파트너생명공학	15540	C이하	C	C이하	C이하	2019	
6246	메디포스트	78160	B	B	B	C이하	2019	
6245	메리츠금융지주	138040	B+	A	B+	C이하	2019	금융회사
6244	메리츠종금증권	8560	B+	A	B+	C이하	2019	금융회사
6243	메리츠화재	60	B	B+	B+	C이하	2019	금융회사
6242	메이슨캐피탈	21880	C이하	C이하	C이하	C이하	2019	금융회사
6241	메타랩스	90370	C이하	B	C이하	C이하	2019	
6240	메트라이프생명보험	832969		B			2019	금융회사
6239	명문제약	17180	B	B	B	C이하	2019	
6238	모나리자	12690	B	B	B	B	2019	
6237	모나미	5360	C이하	C	C이하	C이하	2019	
6236	모두투어	80160	B	B+	B	C이하	2019	
6235	모토닉	9680	B	B+	B	C이하	2019	
6234	무림P&P	9580	B+	B	B+	B+	2019	
6233	무림페이퍼	9200	B+	B	B+	B+	2019	
6232	무학	33920	C이하	C	C이하	B	2019	
6231	문배철강	8420	C이하	B	C이하	C이하	2019	
6230	미래산업	25560	B	B	B	B	2019	
6229	미래아이앤지	7120	C이하	B	C이하	C이하	2019	
6228	미래에셋대우	6800	B+	B+	A	B+	2019	금융회사
6227	미래에셋생명	85620	B	B	B+	C이하	2019	금융회사
6226	미래컴퍼니	49950	B	B+	B	C이하	2019	
6225	미원상사	2840	C이하	B	C이하	C이하	2019	
6224	미원에스씨	268280	C이하	B	C이하	C이하	2019	
6223	미원홀딩스	107590	C이하	B	C이하	C이하	2019	
6222	미원화학	134380	C이하	C	B	C이하	2019	
6221	미창석유공업	3650	C이하	B+	C이하	C이하	2019	
6220	바텍	43150	C이하	C	C이하	C이하	2019	
6219	방림	3610	B	B	C이하	B	2019	
6218	백광산업	1340	C이하	C	C이하	B	2019	
6217	백광소재	14580	C이하	B	C이하	C이하	2019	
6216	백산	35150	C이하	C	B	B	2019	
6215	범양건영	2410	C이하	C	C이하	C이하	2019	
6214	벽산	7210	B	B	B	B	2019	
6213	보락	2760	C이하	C	C이하	C이하	2019	
6212	보령제약	3850	B	B	B	C이하	2019	
6211	보해양조	890	B	B	B	B	2019	
6210	부광약품	3000	B	B+	C이하	C이하	2019	
6209	부국증권	1270	C이하	C이하	B	C이하	2019	금융회사
6208	부국철강	26940	C이하	B	C이하	C이하	2019	
6207	부산도시가스	15350	B	B	B+	C이하	2019	
6206	부산산업	11390	C이하	C	C이하	C이하	2019	
6205	부산은행	5280		A			2019	금융회사
6204	부산주공	5030	C이하	C	C이하	B	2019	
6203	비상교육	100220	B	B+	B+	C이하	2019	
6202	비에이치	90460	C이하	B	B	C이하	2019	
6201	비티원	101140	B	B	B	C이하	2019	
6200	빙그레	5180	A	A	A	B+	2019	
6199	사조대림	3960	C이하	C	B	C이하	2019	
6198	사조동아원	8040	C이하	B	B	C이하	2019	
6197	사조산업	7160	C이하	D	B	C이하	2019	
6196	사조씨푸드	14710	C이하	C	C이하	C이하	2019	
6195	사조오양	6090	C이하	C	B	C이하	2019	
6194	삼광글라스	5090	C이하	B	C이하	C이하	2019	
6193	삼부토건	1470	C이하	B	B	C이하	2019	
6192	삼성SDI	6400	A	B+	A+	B+	2019	
6191	삼성공조	6660	C이하	B	C이하	C이하	2019	
6190	삼성물산	28260	A	A	A	A+	2019	
6189	삼성바이오로직스	207940	B+	B+	A	C이하	2019	
6188	삼성생명	32830	B+	B+	A	A	2019	금융회사
6187	삼성에스디에스	18260	B+	B+	A	B+	2019	
6186	삼성엔지니어링	28050	A	A	A+	A	2019	
6185	삼성전기	9150	A	A	A+	A	2019	
6184	삼성전자	5930	B+	B	B+	B+	2019	
6183	삼성제약	1360	C이하	D	C이하	B	2019	
6182	삼성중공업	10140	B+	B+	A	B+	2019	
6181	삼성증권	16360	B+	B	A	B	2019	금융회사
6180	삼성출판사	68290	C이하	C	C이하	C이하	2019	
6179	삼성카드	29780	B	B+	B+	C이하	2019	금융회사
6178	삼성화재해상보험	810	A	A	A+	A+	2019	금융회사
6177	삼아알미늄	6110	B	B	C이하	B+	2019	
6176	삼양사	145990	B+	B	B+	B+	2019	
6175	삼양식품	3230	C이하	D	B	C이하	2019	
6174	삼양통상	2170	B	B	C이하	B	2019	
6173	삼양패키징	272550	B+	B+	B+	B	2019	
6172	삼양홀딩스	70	C이하	D	B+	B	2019	
6171	삼영무역	2810	C이하	C	C이하	C이하	2019	
6170	삼영전자공업	5680	B	B	B+	B	2019	
6169	삼영화학공업	3720	B	B	C이하	B	2019	
6168	삼원강재	23000	B	B	C이하	B	2019	
6167	삼익THK	4380	C이하	C	B	B	2019	
6166	삼익악기	2450	C이하	C	C이하	C이하	2019	
6165	삼일제약	520	C이하	B	C이하	C이하	2019	
6164	삼정펄프	9770	C이하	C	B	C이하	2019	
6163	삼진제약	5500	B	B	B+	C이하	2019	
6162	삼천당제약	250	C이하	C	B	C이하	2019	
6161	삼천리	4690	B+	B+	A	B	2019	
6160	삼호	1880	B+	B+	B+	B	2019	
6159	삼호개발	10960	C이하	B	C이하	C이하	2019	
6158	삼화왕관	4450	B	B	C이하	B+	2019	
6157	삼화전기	9470	C이하	B	C이하	C이하	2019	
6156	삼화전자공업	11230	C이하	B	B	C이하	2019	
6155	삼화콘덴서공업	1820	B	B	B	B	2019	
6154	삼화페인트공업	390	B+	B+	B+	B	2019	
6153	상상인	38540	C이하	C	C이하	C이하	2019	
6152	상상인증권	1290	C이하	C이하	B	C이하	2019	금융회사
6151	상신브레이크	41650	B	B	B	B	2019	
6150	새론오토모티브	75180	C이하	C	C이하	B	2019	
6149	샘표	7540	C이하	C	B+	B	2019	
6148	샘표식품	248170	B+	B	B+	B+	2019	
6147	서부T&D	6730	C이하	C	C이하	C이하	2019	
6146	서연	7860	B+	B+	B+	C이하	2019	
6145	서연이화	200880	B+	B+	B+	B	2019	
6144	서울도시가스	17390	B	B	B+	C이하	2019	
6143	서울반도체	46890	B	B	B	B+	2019	
6142	서울보증보험	813002		B			2019	금융회사
6141	서울식품공업	4410	C이하	C	B	B	2019	
6140	서원	21050	B	B	C이하	B	2019	
6139	서흥	8490	C이하	C	C이하	C이하	2019	
6138	선도전기	7610	C이하	C	B	B	2019	
6137	선진	136490	B	B+	B	C이하	2019	
6136	선창산업	2820	B	B	B+	B	2019	
6135	성문전자	14910	C이하	C	C이하	C이하	2019	
6134	성보화학	3080	C이하	B	B	C이하	2019	
6133	성신양회	4980	B	B	C이하	B	2019	
6132	성안	11300	C이하	C	C이하	C이하	2019	
6131	성창기업지주	180	C이하	C	C이하	C이하	2019	
6130	세기상사	2420	B	B	B	C이하	2019	
6129	세방	4360	C이하	C	B	B	2019	
6128	세방전지	4490	B	B	B	B+	2019	
6127	세아베스틸	1430	C이하	C	B	B	2019	
6126	세아제강지주	3030	B	B	B	C이하	2019	
6125	세아특수강	19440	B	B	C이하	B	2019	
6124	세아홀딩스	58650	B	B	B	C이하	2019	
6123	세우글로벌	13000	C이하	C	C이하	B	2019	
6122	세원셀론텍	91090	C이하	C	C이하	B	2019	
6121	세원정공	21820	C이하	D	C이하	C이하	2019	
6120	세이브존I&C	67830	C이하	C	C이하	C이하	2019	
6119	세종공업	33530	C이하	D	B	B	2019	
6118	세진중공업	75580	B	B+	B	C이하	2019	
6117	세하	27970	B	B	B	B+	2019	
6116	세화아이엠씨	145210	C이하	C	C이하	C이하	2019	
6115	셀트리온	68270	B+	B+	B	B	2019	
6114	셀트리온제약	68760	C이하	B	C이하	C이하	2019	
6113	셀트리온헬스케어	91990	B	B+	B	C이하	2019	
6112	솔브레인	36830	B	B	B	B	2019	
6111	송원산업	4430	C이하	C	B+	B	2019	
6110	수산중공업	17550	B	B	B	B	2019	
6109	스튜디오드래곤	253450	B	B+	C이하	C이하	2019	
6108	시그네틱스	33170	C이하	C	B	B+	2019	
6107	시디즈	134790	C이하	C	C이하	C이하	2019	
6106	신대양제지	16590	C이하	C	B	C이하	2019	
6105	신도리코	29530	B+	B+	B+	B	2019	
6104	신라교역	4970	C이하	C	B	C이하	2019	
6103	신라젠	215600	C이하	B+	C이하	C이하	2019	
6102	신성이엔지	11930	B	B	B	B	2019	
6101	신성통상	5390	C이하	C	C이하	C이하	2019	
6100	신세계	4170	B+	B+	A	B+	2019	
6099	신세계I&C	35510	B+	B+	B+	B	2019	
6098	신세계건설	34300	B	B+	B	C이하	2019	
6097	신세계인터내셔날	31430	B+	B+	A	B	2019	
6096	신세계푸드	31440	B+	B+	B+	B	2019	
6095	신송홀딩스	6880	B	B	B	C이하	2019	
6094	신영와코루	5800	C이하	C	B	C이하	2019	
6093	신영증권	1720	B	B+	B	C이하	2019	금융회사
6092	신원	9270	C이하	D	C이하	C이하	2019	
6091	신일산업	2700	C이하	B	B	C이하	2019	
6090	신풍제약	19170	B	B+	B	C이하	2019	
6089	신풍제지	2870	B+	B+	B	B+	2019	
6088	신한	5450	C이하	D	C이하	C이하	2019	
6087	신한금융투자	8670		B			2019	금융회사
6086	신한생명보험	828992		B+			2019	금융회사
6085	신한은행	10		B+			2019	금융회사
6084	신한지주	55550	A+	A+	B+	A+	2019	금융회사
6083	신한카드	32710		A			2019	금융회사
6082	신한캐피탈	811323		B+			2019	금융회사
6081	신화실업	1770	C이하	D	C이하	C이하	2019	
6080	신화인터텍	56700	C이하	C	B	B	2019	
6079	신흥	4080	B	B	B	C이하	2019	
6078	실리콘웍스	108320	B	B+	B+	C이하	2019	
6077	쌍방울	102280	C이하	C	B	C이하	2019	
6076	쌍용양회공업	3410	B+	B+	B+	B+	2019	
6075	쌍용자동차	3620	B	B	B	B+	2019	
6074	써니전자	4770	C이하	B	B	C이하	2019	
6073	씨아이테크	4920	C이하	C	C이하	C이하	2019	
6072	씨에스윈드	112610	B	B+	C이하	B	2019	
6071	씨젠	96530	C이하	C	C이하	C이하	2019	
6070	씨티은행	16830		A			2019	금융회사
6069	아남전자	8700	C이하	C	C이하	C이하	2019	
6068	아모레퍼시픽	90430	A	B+	A+	A	2019	
6067	아모레퍼시픽그룹	2790	A	B+	A+	A	2019	
6066	아미코젠	92040	C이하	C	B	C이하	2019	
6065	아세아	2030	C이하	C	B	B	2019	
6064	아세아시멘트	183190	B	C	A	A	2019	
6063	아세아제지	2310	B	B	C이하	B	2019	
6062	아시아나항공	20560	B	C	B+	B+	2019	
6061	아이마켓코리아	122900	B	B+	B+	C이하	2019	
6060	아이비케이연금보험	829322		B			2019	금융회사
